taxon	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	lfc_SampleSiteTANK WATER_SampleSiteORAL	se_SampleSiteORAL	se_SampleSiteTANK WATER	se_SampleSiteTANK WATER_SampleSiteORAL	W_SampleSiteORAL	W_SampleSiteTANK WATER	W_SampleSiteTANK WATER_SampleSiteORAL	p_SampleSiteORAL	p_SampleSiteTANK WATER	p_SampleSiteTANK WATER_SampleSiteORAL	q_SampleSiteORAL	q_SampleSiteTANK WATER	q_SampleSiteTANK WATER_SampleSiteORAL	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	diff_SampleSiteTANK WATER_SampleSiteORAL	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__AB1;g__AB1;s__Sinorickettsia_chlamys	0.828454265236523	-0.354194630483461	-1.1826488957199839	0.5779700186663953	0.7240644382507904	0.7907623050873718	1.4333862284900065	-0.4891755647316855	-1.4955807682174638	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.04054823439868456	0.036487086390616284	0.05643860195300185	0.0316749036737978	0.036487086390616284	0.05643860195300187	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio_fortis	-0.12904295716092087	2.5866277144255436	2.7156706715864645	0.9079736124675482	1.1335196511794141	1.1994770602961482	-0.14212192445794564	2.2819434243898526	2.264045525736	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.02072363934929463	0.037577308909674915	0	0.28937731667194677	0.037577308909674915	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__uncultured;s__metagenome	-0.3267695333491916	1.0325221048908433	1.3592916382400348	0.43218608796195945	0.5432596761868812	0.615116541526932	-0.7560852661642212	1.9006050884138435	2.2098115502889955	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.0819975778056158	0.18116725693900373	0	0	0.18116725693900373	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;__	1.3244613855253158	0.7259700546699988	-0.598491330855317	0.9145323713474022	1.1416599065074724	1.2076837361932415	1.4482389328372876	0.6358899445727774	-0.49556958740028306	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.04040031542341312	0.2253542399704944	0.050284391496271286	0.14951145981719116	0.2253542399704944	0.050284391496271286	0.13734792143351882
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Peredibacter;s__uncultured_delta	-0.19880207271012099	1.8162338591148384	2.0150359318249595	0.3332998911272078	0.42051568032621484	0.49953433908293526	-0.5964660595530943	4.31906334076745	4.033828656352718	0.5508639210922639	1.5669280920151255e-5	5.4875338613999306e-5	1	4.7759968244621027e-4	0.0016177249823406995	FALSE	TRUE	TRUE	0.7186897013883653	0.2550190648977725	0	0	0.2550190648977725	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pseudahrensia;s__uncultured_bacterium	0.018177342184850086	1.034809270788979	1.016631928604129	0.3625080078437523	0.45680359785341773	0.5332920721470261	0.05014328453865455	2.265326445876715	1.9063323490093969	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.3446090779465014	0.3173536781461666	0	0	0.3173536781461666	0	0.5655829235332274
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_bacterium	-0.5849324768191839	1.7289432970945076	2.3138757739136917	0.44780749084454835	0.5626344964576588	0.633684256992941	-1.3062141406255239	3.0729422173363297	3.651464823970635	0.1914797453562023	0.002119595254601881	2.6074881747634653e-4	1	0.06248566810566345	0.007947623956679042	FALSE	FALSE	TRUE	0.06534451458226195	0.19552318900753468	0	0	0.19552318900753465	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;__	1.0944710443001098	1.7825011528787649	0.6880301085786551	0.8750961226700382	1.0927156305463404	1.1583730431433072	1.250686657096284	1.631258035530747	0.5939624654175727	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.05964929616136932	0.046307369387676385	0.05751398246898217	0.017407502707978847	0.046307369387676385	0.0575139824689822	0.05670368503559691
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Unknown_Family;s__uncultured_bacterium	-0.25911962871284544	2.0767393627654016	2.335858991478247	0.4452450247258726	0.5594564179929347	0.6306334797091013	-0.5819708572204251	3.712066384394626	3.7039882382326614	0.5605863109401183	2.0557404956998357e-4	2.122361028150888e-4	1	0.006265897030893099	0.006265897030893099	FALSE	TRUE	TRUE	0.29788293258767273	0.1653698463924713	0	0	0.1653698463924713	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;__;__	1.2876065194455462	-1.4806235087482567	-2.768230028193803	0.7403784581564986	0.925541065176156	0.9906644815404246	1.7391193723431866	-1.5997383200565534	-2.7943164207213416	1	1	1	1	1	1	FALSE	FALSE	FALSE	0.031853728926785015	0	0.1461783009628761	0	0	0.14617830096287612	0
