# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Sanguibacteroides;__	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;__;__;__	0.0	0.0	0.0	15.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	869.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius_aestuarii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__UCG-004;s__uncultured_bacterium	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__bacterium_NLAE-zl-C313	0.0	765.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__uncultured_bacterium	288.0	770.0	6.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	1920.0	25.0	14.0	0.0	18.0	76.0	0.0	0.0	159.0	1081.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__uncultured;s__uncultured_bacterium	8.0	1152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	140.0	7.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__uncultured;s__uncultured_bacterium	1294.0	5590.0	139.0	38.0	0.0	255.0	5483.0	2091.0	10.0	14674.0	4297.0	11.0	0.0	10.0	6.0	7841.0	3064.0	4575.0	21154.0	12173.0	2040.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Kangiellaceae;g__Kangiella;__	25.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	273.0	4.0	0.0	0.0	0.0	0.0	75.0	142.0	0.0	0.0	581.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium;s__uncultured_bacterium	0.0	0.0	0.0	0.0	3050.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	13.0	5331.0	29.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter_maritimus	0.0	18.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio_furnissii	0.0	0.0	20.0	32.0	4091.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3077.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospiraceae;g__uncultured;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;__	0.0	109.0	79.0	0.0	0.0	0.0	0.0	20.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
